stem,n_bench,sec,depth_spearman,rem_f1,rem_precision,rem_recall,rem_pred_rate,rem_true_rate,sdi_Wake,sdi_N1,sdi_N2,sdi_N3,sdi_REM
SC4201,1022,51.1,0.716,0.5603,0.7524,0.4463,0.1027,0.1732,0.089,0.163,0.397,0.866,0.202
SC4202,1021,42.7,0.684,0.0,0.0,0.0,0.0,0.2027,0.005,0.01,0.045,,0.008
SC4211,1578,7875.1,0.663,0.7195,0.6667,0.7815,0.1122,0.0957,0.148,0.2,0.489,0.949,0.25
SC4212,808,44.8,0.676,0.7721,0.6484,0.954,0.1584,0.1077,0.19,0.183,0.503,0.937,0.405
SC4221,1099,44.5,0.819,0.17,0.9444,0.0934,0.0164,0.1656,0.025,0.172,0.527,0.99,0.062
SC4222,1108,49.0,0.834,0.634,0.8661,0.5,0.1146,0.1986,0.019,0.107,0.369,0.933,0.107
SC4231,904,49.5,0.7,0.4735,0.9437,0.316,0.0785,0.2345,0.061,0.123,0.398,0.94,0.129
SC4232,1729,37.9,0.779,0.036,0.8,0.0184,0.0029,0.1255,0.001,0.129,0.084,0.758,0.01
SC4241,1673,47.5,0.58,0.767,0.8036,0.7337,0.1004,0.11,0.196,0.202,0.496,0.942,0.452
SC4242,1775,39.9,0.816,0.6136,0.9205,0.4602,0.0496,0.0992,0.026,0.078,0.443,0.945,0.207
SC4251,972,44.5,0.792,0.7742,0.812,0.7397,0.1368,0.1502,0.019,0.07,0.491,0.959,0.34
SC4252,1020,46.2,0.824,0.8,0.7845,0.8161,0.1775,0.1706,0.094,0.227,0.427,0.843,0.393
SC4261,1597,47.3,0.738,0.784,0.7153,0.8673,0.1716,0.1415,0.095,0.156,0.375,0.837,0.392
SC4262,980,52.8,0.794,0.7102,0.7862,0.6477,0.1622,0.1969,0.041,0.119,0.305,0.883,0.178
SC4271,1052,42.3,0.711,0.0,0.0,0.0,0.0,0.1654,0.018,0.028,0.061,0.451,0.006
SC4272,1090,40.2,0.841,0.4646,0.9324,0.3094,0.0679,0.2046,0.028,0.086,0.159,0.775,0.102
SC4281,1127,40.0,0.82,0.8287,0.7772,0.8876,0.1713,0.15,0.1,0.076,0.435,0.977,0.456
SC4282,1070,40.1,0.84,0.8123,0.7592,0.8735,0.1785,0.1551,0.054,0.055,0.414,0.967,0.357
SC4291,1131,40.3,0.862,0.2936,0.7442,0.1829,0.038,0.1547,0.022,0.069,0.318,0.95,0.106
SC4292,1605,40.5,0.841,0.6303,0.9455,0.4727,0.0685,0.1371,0.057,0.224,0.465,0.956,0.383
SC4301,929,40.0,0.82,0.5547,0.5299,0.582,0.1442,0.1313,0.023,0.13,0.349,0.691,0.161
SC4302,854,51.1,0.81,0.6147,0.7396,0.5259,0.1124,0.1581,0.014,0.096,0.295,0.565,0.124
SC4311,1054,42.5,0.914,0.7011,0.7364,0.669,0.1224,0.1347,0.005,0.09,0.365,0.817,0.192
SC4312,1181,40.2,0.904,0.6811,0.6283,0.7435,0.1914,0.1617,0.056,0.255,0.496,0.914,0.392
SC4321,1560,52.4,0.713,0.7504,0.7599,0.7413,0.1788,0.1833,0.095,0.284,0.393,,0.419
SC4322,1021,48.5,0.803,0.6728,0.7565,0.6058,0.189,0.236,0.028,0.09,0.331,0.767,0.244
SC4331,1888,50.9,0.777,0.7683,0.8231,0.7202,0.0779,0.089,0.04,0.259,0.406,,0.309
SC4332,1312,49.6,0.865,0.4554,0.7188,0.3333,0.0488,0.1052,0.005,0.111,0.339,,0.162
SC4341,1501,47.2,0.176,0.4571,0.5035,0.4186,0.0953,0.1146,0.291,0.086,0.27,,0.184
SC4342,1582,39.5,0.364,0.715,0.6273,0.8313,0.1391,0.1049,0.272,0.113,0.364,,0.365
SC4351,976,38.2,0.877,0.2472,0.1692,0.4583,0.0666,0.0246,0.107,0.189,0.496,0.886,0.275
SC4352,963,41.8,0.839,0.487,0.6512,0.3889,0.0447,0.0748,0.049,0.171,0.519,0.908,0.379
SC4362,824,39.8,0.772,0.3492,0.3793,0.3235,0.0704,0.0825,0.038,0.141,0.354,0.554,0.092
SC4371,918,41.0,0.533,0.2822,0.1949,0.5111,0.1285,0.049,0.248,0.171,0.348,0.624,0.46
SC4372,1509,40.2,0.765,0.4336,0.4083,0.4623,0.0795,0.0702,0.046,0.15,0.257,0.564,0.223
SC4381,1776,38.7,0.821,0.6501,0.4861,0.9812,0.1819,0.0901,0.049,0.247,0.444,0.692,0.512
SC4382,1871,40.0,0.862,0.3983,0.6667,0.284,0.0385,0.0903,0.005,0.066,0.279,0.675,0.1
SC4401,1064,38.4,0.862,0.8137,0.883,0.7545,0.0883,0.1034,0.025,0.204,0.494,0.71,0.427
SC4402,1072,40.3,0.885,0.5116,0.9778,0.3465,0.084,0.2369,0.037,0.17,0.46,0.899,0.253
SC4411,1078,43.0,0.784,0.2251,0.963,0.1275,0.025,0.1892,0.015,0.105,0.314,0.833,0.096
SC4412,924,74.8,0.899,0.4186,0.931,0.27,0.0314,0.1082,0.017,0.113,0.317,0.855,0.153
SC4421,785,66.9,0.845,0.8459,0.9752,0.7468,0.1541,0.2013,0.122,0.149,0.491,0.953,0.379
SC4422,884,46.9,0.687,0.7746,0.7882,0.7614,0.0962,0.0995,0.242,0.111,0.576,0.974,0.402
SC4431,699,64.1,0.795,0.3774,0.8,0.2469,0.0358,0.1159,0.057,0.118,0.348,0.888,0.128
SC4432,962,63.2,0.766,0.2783,0.9697,0.1624,0.0343,0.2048,0.076,0.047,0.191,0.828,0.082
SC4441,1195,43.9,0.861,0.1121,0.8571,0.06,0.0059,0.0837,0.011,0.07,0.225,0.803,0.03
SC4442,1092,54.3,0.803,0.6133,0.8519,0.4792,0.0495,0.0879,0.045,0.136,0.36,0.967,0.137
SC4451,1208,61.4,0.906,0.3412,0.9355,0.2086,0.0257,0.1151,0.013,0.03,0.295,0.947,0.128
SC4452,1166,55.6,0.909,0.7412,0.928,0.617,0.1072,0.1612,0.038,0.088,0.462,0.957,0.294
SC4461,983,65.3,0.809,0.8168,0.7237,0.9375,0.2319,0.179,0.082,0.185,0.496,0.9,0.506
SC4462,1022,48.0,0.755,0.8214,0.7816,0.8656,0.2016,0.182,0.068,0.155,0.439,0.865,0.37
SC4471,1187,46.2,0.88,0.4586,0.973,0.3,0.0312,0.1011,0.106,0.214,0.513,0.942,0.163
SC4472,2161,53.6,0.633,0.5135,0.5588,0.475,0.0472,0.0555,0.137,0.176,0.601,0.973,0.248
SC4481,2027,53.7,0.747,0.7603,0.887,0.6653,0.0873,0.1164,0.057,0.049,0.368,0.855,0.185
SC4482,1910,49.7,0.876,0.6828,0.7615,0.6188,0.0681,0.0838,0.009,0.102,0.401,0.956,0.176
SC4491,1101,47.5,0.838,0.5267,0.9405,0.3657,0.0763,0.1962,0.021,0.171,0.587,0.987,0.264
SC4492,1040,38.4,0.868,0.5083,0.9583,0.3459,0.0462,0.1279,0.029,0.174,0.595,0.987,0.202
SC4501,1326,46.4,0.833,0.4962,0.942,0.3368,0.052,0.1456,0.016,0.097,0.275,0.654,0.111
SC4502,1103,57.3,0.79,0.5188,0.92,0.3613,0.068,0.1732,0.047,0.138,0.329,0.704,0.149
SC4511,1087,60.6,0.646,0.5027,0.7705,0.373,0.0561,0.1159,0.045,0.096,0.266,0.856,0.074
SC4512,954,56.2,0.603,0.0174,0.3333,0.0089,0.0031,0.1174,0.007,0.038,0.067,0.19,0.011
SC4522,997,57.7,0.49,0.2991,0.6957,0.1905,0.0231,0.0843,0.165,0.099,0.256,0.617,0.233
SC4531,1096,50.3,0.828,0.7362,0.8219,0.6667,0.1332,0.1642,0.019,0.123,0.333,0.566,0.313
SC4532,1056,49.7,0.819,0.7758,0.8,0.7529,0.1515,0.161,0.025,0.153,0.464,0.849,0.441
SC4541,1716,48.0,0.702,0.6416,0.5949,0.6963,0.0921,0.0787,0.119,0.171,0.405,0.816,0.44
SC4542,1148,46.4,0.554,0.5357,0.5769,0.5,0.0906,0.1045,0.285,0.169,0.435,0.87,0.36
SC4551,1047,48.3,0.842,0.5258,0.5283,0.5234,0.1012,0.1022,0.008,0.101,0.287,0.556,0.185
SC4552,1090,48.5,0.848,0.8396,0.8154,0.8653,0.2385,0.2248,0.037,0.131,0.373,0.537,0.412
SC4561,1237,51.1,0.665,0.3562,0.7879,0.2301,0.0267,0.0914,0.085,0.126,0.465,0.915,0.162
SC4562,1148,52.7,0.641,0.6387,0.7525,0.5547,0.088,0.1193,0.176,0.184,0.58,0.961,0.394
SC4571,1227,54.0,0.796,0.6192,0.8025,0.504,0.128,0.2037,0.02,0.076,0.265,,0.234
SC4572,1095,54.4,0.775,0.7259,0.8125,0.656,0.1607,0.1991,0.01,0.058,0.264,0.748,0.204
SC4581,1095,50.0,0.746,0.2095,0.449,0.1366,0.0447,0.147,0.033,0.138,0.372,0.896,0.085
SC4582,1175,47.6,0.781,0.2815,0.3878,0.2209,0.0417,0.0732,0.028,0.161,0.296,0.602,0.106
SC4591,1840,45.3,0.775,0.4419,0.8837,0.2946,0.0467,0.1402,0.013,0.067,0.26,0.502,0.128
SC4592,1231,30.0,0.619,0.3452,0.8095,0.2194,0.0341,0.1259,0.052,0.088,0.22,0.5,0.126
