window,subset,class,run,model,f1,recall,precision,support,n,coverage
valid,SC,Wake,E01,YASA Fpz,0.9044,0.9482,0.8644,285433,414961,0.907
valid,SC,N1,E01,YASA Fpz,0.073,0.042,0.2771,21522,414961,0.907
valid,SC,N2,E01,YASA Fpz,0.6965,0.6444,0.7578,69132,414961,0.907
valid,SC,N3,E01,YASA Fpz,0.4407,0.3689,0.5473,13039,414961,0.907
valid,SC,REM,E01,YASA Fpz,0.4776,0.5256,0.4377,25835,414961,0.907
valid,ST,Wake,E01,YASA Fpz,0.5547,0.9035,0.4002,4423,42691,0.093
valid,ST,N1,E01,YASA Fpz,0.2252,0.1415,0.5506,3653,42691,0.093
valid,ST,N2,E01,YASA Fpz,0.8135,0.8228,0.8044,19851,42691,0.093
valid,ST,N3,E01,YASA Fpz,0.7089,0.6012,0.8634,6415,42691,0.093
valid,ST,REM,E01,YASA Fpz,0.7684,0.7061,0.8427,8349,42691,0.093
bench,ALL,Wake,E02,YASA Fpz+EOG,0.6904,0.9737,0.5348,70140,237936,1.0
bench,ALL,N1,E02,YASA Fpz+EOG,0.1222,0.0686,0.5578,25175,237936,1.0
bench,ALL,N2,E02,YASA Fpz+EOG,0.744,0.7089,0.7828,88983,237936,1.0
bench,ALL,N3,E02,YASA Fpz+EOG,0.3638,0.2284,0.8938,19454,237936,1.0
bench,ALL,REM,E02,YASA Fpz+EOG,0.6653,0.5426,0.8596,34184,237936,1.0
bench,SC,Wake,E02,YASA Fpz+EOG,0.7151,0.9726,0.5654,65941,195469,0.822
bench,SC,N1,E02,YASA Fpz+EOG,0.1178,0.0661,0.5413,21522,195469,0.822
bench,SC,N2,E02,YASA Fpz+EOG,0.73,0.6901,0.7747,69132,195469,0.822
bench,SC,N3,E02,YASA Fpz+EOG,0.1946,0.1094,0.876,13039,195469,0.822
bench,SC,REM,E02,YASA Fpz+EOG,0.6436,0.5235,0.8353,25835,195469,0.822
bench,ST,Wake,E02,YASA Fpz+EOG,0.45,0.99,0.2912,4199,42467,0.178
bench,ST,N1,E02,YASA Fpz+EOG,0.148,0.0835,0.6503,3653,42467,0.178
